Username,User ID,Price,Strength,Intel,Combined
AlohaParadise,1857514947,1099349274007,38882,34842,73724
Aphrodite13,548854213,1099021294443,6532,6438,12970
Kinsay,481414184,1098977680789,2448,2448,4896
CurlyHeadKole_,1957818402,1098977542441,227020,227020,454040
Clint54,1119127019,1098803360053,2848,2664,5512
_TheSavageofallHarleyQuinn_,481349170,1098606411512,1421342,1421342,2842684
Maz_,817267229,1098486404206,6208,5608,11816
Alyy1967,615980134,1097912492815,258920,258920,517840
devil543,1522522265,1097842835478,2747442,1324884,4072326
Hey-boo,415083162,1097541494166,226670,811514,1038184
_MARl_,817086219,1097541494123,445182,2052450,2497632
Anima_clara,884119334,1097492006538,1705832,1694356,3400188
Sneha_3,716420705,1096693216612,38986,44230,83216
Ladykaykush5,1052629420,1096631872804,751084,498358,1249442
__Grimmjow--Ulquiorra__,1555296538,1096631872793,2322456,2459010,4781466
DrunkOnAFeeling,347280534,1096631872771,1051058,761542,1812600
Pupperoni,213761557,1096631872296,248556,72086,320642
KingInYellow,1756516013,1096631872137,1187122,1190406,2377528
avi_2,1622184397,1096631872087,2724162,2705970,5430132
Speedyrocker,1622171071,1096631872083,1869882,768726,2638608
MB_bunnylove_JA,1722900493,1096631871036,2330816,2330816,4661632
WhiteLady2,582181809,1096631870801,27560,27560,55120
Jgoof,481750747,1096631868654,1892,2932,4824
Fruzsi,2024859493,1096631862442,4100,4544,8644
I_DONT_NO,1321204334,1096586686018,4120660,4120660,8241320
bleachluver,78985244,1096245935139,7924,6780,14704
ShaLuna,1723030177,1095958073958,308730,296072,604802
min201,1286815255,1095680753602,1268,2696,3964
vfc999,1958199196,1095400500236,7324,7304,14628
MrCiey,649965013,1095373895095,1159180,274996,1434176
kop3,1823592540,1095030874464,2184240,882666,3066906
-_-_-X-_-_-,883968542,1095030866459,2088078,341930,2430008
Bro_darcy,1924252064,1095030827714,3384,3384,6768
iBatsy,11627213,1095030315155,1415984,1273658,2689642
BigDaddy1809,917689354,1095008377129,13448,18496,31944
Hey_Bailey,783427944,1094177213781,27744,20582,48326
Monkey,2125597237,1094120333927,2794,2376,5170
Underlighting,985433123,1094019661035,2250946,1379530,3630476
BusySkippingAds,347274674,1093969388172,2987392,2912096,5899488
MrJester,985131848,1093969387779,264536,1614238,1878774
PablotheBlowFish,1655923606,1093920580036,1963900,1967196,3931096
iJesusTieHerDown,1555460600,1093791767765,1492388,244770,1737158
SarahT0nin,1388084402,1093607789585,1737956,2149064,3887020
Lawliet22,1655722768,1093431917721,1554758,638344,2193102
InactiveForever23,1891625781,1093193902002,696,770,1466
iKandi_Rolls-Bluntz_,985518521,1093166999060,1130642,1135934,2266576
Renergade,548483401,1093062727200,1650874,906200,2557074
Photo-Graphy,615670015,1093062727149,1875434,1774462,3649896
I_warn_sam,917962338,1093062727131,1550360,255612,1805972
iNeedANap,1219733590,1093062727045,297402,1390790,1688192
-808lx_xYOU-ASKED-4-ITx_xl8O8-,716584001,1093062726386,2035126,714456,2749582
_Novah_,1823695468,1093062722878,146488,142106,288594
l-Tori-l,1018196578,1093062720041,734364,1156482,1890846
-llRyuzaki-Lawlietll-,414634024,1093062715173,1068580,1068580,2137160
PITOMPUTPITONGPUTINGPATINGGGGG,1857480560,1093062557876,5003332,1576508,6579840
NaughtyJela,1723827987,1093039751450,781368,173932,955300
kim-lee,347123703,1092853871757,5980,5076,11056
mikasa1931,918532850,1092763496037,150542,92636,243178
lee90,313572966,1092204903661,5460,5460,10920
Chii37,682790087,1092204155351,158,66,224
BabySwiss,515068000,1092075750067,423190,421186,844376
Joel1214,11611769,1092065205029,612,1244,1856
Shayna298,45267323,1092027641352,3492440,2256224,5748664
ben-10,884779120,1092003148531,2145254,1130502,3275756
-Herrera_esque-,448245606,1092003148384,0,0,0
Pangeran,717073031,1091835886831,121370,547194,668564
malbbe2,247437716,1091748007735,71380,67096,138476
Kazanux,1789921171,1091514708380,4212,3948,8160
DrDisrespect,850799954,1091466919150,36670,36670,73340
-__-nvm,246508969,1091157636047,3685486,647252,4332738
_John_Wick_,582799482,1091108396869,1396232,1122218,2518450
LOVE020,381132538,1091098117237,3093160,3093160,6186320
lexi-a,682723774,1091098117234,4283322,869864,5153186
IrresistiblyUbe,1991669228,1091098117223,3113176,2554510,5667686
-BCS-Salt,1991749792,1091098117223,2664300,580500,3244800
lIlIDarKolIlI,1152634755,1091098117222,2248880,2488200,4737080
lll-Ajboy134-lll,313588969,1091098117206,1447152,293840,1740992
Totalchaosinthisworld,113089214,1091098117203,2698402,2698402,5396804
whatabtch3,515695226,1091098117200,711150,544250,1255400
Ginoo,347251636,1091098117181,1080704,786328,1867032
BLUFF,1689345019,1091098117133,1123516,1123516,2247032
IC_error_,1824282432,1091098117096,1609490,1596740,3206230
hervor,45542919,1091098117058,1363802,1453944,2817746
skk8r,213051620,1091098117014,2145754,882068,3027822
Haze84,615701181,1091098116956,1439542,266914,1706456
NovaTheBlueRose,1152418083,1091098116820,1958088,1958088,3916176
Tenebrous,683455665,1091098116793,1728310,283326,2011636
WhiteCherry,816877634,1091098116751,897820,897820,1795640
blvck,850423886,1091098116634,995222,1347018,2342240
Player09281402,1924588649,1091098116601,118706,19784,138490
Shizue7,1421714914,1091098116054,2566,2158,4724
Bharath_gowda,1790343388,1091098114054,758650,760958,1519608
killer109,515096355,1091098113621,1936620,1936620,3873240
redneckrandy,582216562,1091098110362,23118,22990,46108
Jeannette_2000,783474289,1091097956154,1603806,1860560,3464366
__Black-Swan__,113012586,1091096949766,1091720,1091700,2183420
Devil_King3,180155157,1091084696798,2350580,396940,2747520
-LilSarah-,448641112,1091053147406,3756,4142,7898
laloves2party,1622493792,1090925181537,127906,135942,263848
AmaraMaple,45500004,1090773211680,1328578,1183822,2512400
A-Vers,2025597081,1090506322789,536162,535958,1072120
Leporidae,1085485842,1090408906161,62860,55578,118438
SimplyFedUp,1857213280,1089937504197,3251354,1544956,4796310
-YourWorstNightmare-,1286716986,1089873475248,66702,60012,126714
knackered_kam,1655824140,1089873440053,24960,25020,49980
